run_accession	sample_accession	sample_alias	title	isolate	tissue	age	sex
SRR18595692	SAMN27258457	OSCC81_S015	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595693	SAMN27258456	OSCC81_S014	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595699	SAMN27258451	OSCC81_S009	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595703	SAMN27258447	OSCC81_S005	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595710	SAMN27258522	OSCC81_S080	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595716	SAMN27258516	OSCC81_S074	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595722	SAMN27258482	OSCC81_S040	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595727	SAMN27258477	OSCC81_S035	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595729	SAMN27258475	OSCC81_S033	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595731	SAMN27258473	OSCC81_S031	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595733	SAMN27258472	OSCC81_S030	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595735	SAMN27258470	OSCC81_S028	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595736	SAMN27258469	OSCC81_S027	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595737	SAMN27258468	OSCC81_S026	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595741	SAMN27258464	OSCC81_S022	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595743	SAMN27258445	OSCC81_S003	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595745	SAMN27258461	OSCC81_S019	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595748	SAMN27258522	OSCC81_S080	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595749	SAMN27258459	OSCC81_S017	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595751	SAMN27258491	OSCC81_S049	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595753	SAMN27258489	OSCC81_S047	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595756	SAMN27258486	OSCC81_S044	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595759	SAMN27258483	OSCC81_S041	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595760	SAMN27258482	OSCC81_S040	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595762	SAMN27258481	OSCC81_S039	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595764	SAMN27258479	OSCC81_S037	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595770	SAMN27258473	OSCC81_S031	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595771	SAMN27258472	OSCC81_S030	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595772	SAMN27258454	OSCC81_S012	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595773	SAMN27258471	OSCC81_S029	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595775	SAMN27258469	OSCC81_S027	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595776	SAMN27258468	OSCC81_S026	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595778	SAMN27258466	OSCC81_S024	MIMARKS Survey related sample from human oral metagenome	NA			
SRR18595779	SAMN27258465	OSCC81_S023	MIMARKS Survey related sample from human oral metagenome	NA			
